[DEBUG] 2018-10-02 23:41:41.412 [main] BasicTypeRegistry - Adding type registration java.lang.Class -> org.hibernate.type.ClassType@6f8e8894
[DEBUG] 2018-10-02 23:41:41.415 [main] BasicTypeRegistry - Adding type registration uuid-binary -> org.hibernate.type.UUIDBinaryType@a1f72f5
[DEBUG] 2018-10-02 23:41:41.415 [main] BasicTypeRegistry - Adding type registration java.util.UUID -> org.hibernate.type.UUIDBinaryType@a1f72f5
[DEBUG] 2018-10-02 23:41:41.416 [main] BasicTypeRegistry - Adding type registration uuid-char -> org.hibernate.type.UUIDCharType@75c56eb9
[DEBUG] 2018-10-02 23:41:41.418 [main] BasicTypeRegistry - Adding type registration binary -> org.hibernate.type.BinaryType@5e17553a
[DEBUG] 2018-10-02 23:41:41.418 [main] BasicTypeRegistry - Adding type registration byte[] -> org.hibernate.type.BinaryType@5e17553a
[DEBUG] 2018-10-02 23:41:41.419 [main] BasicTypeRegistry - Adding type registration [B -> org.hibernate.type.BinaryType@5e17553a
[DEBUG] 2018-10-02 23:41:41.422 [main] BasicTypeRegistry - Adding type registration wrapper-binary -> org.hibernate.type.WrapperBinaryType@27912e3
[DEBUG] 2018-10-02 23:41:41.422 [main] BasicTypeRegistry - Adding type registration Byte[] -> org.hibernate.type.WrapperBinaryType@27912e3
[DEBUG] 2018-10-02 23:41:41.422 [main] BasicTypeRegistry - Adding type registration [Ljava.lang.Byte; -> org.hibernate.type.WrapperBinaryType@27912e3
[DEBUG] 2018-10-02 23:41:41.425 [main] BasicTypeRegistry - Adding type registration row_version -> org.hibernate.type.RowVersionType@30b6ffe0
[DEBUG] 2018-10-02 23:41:41.426 [main] BasicTypeRegistry - Adding type registration image -> org.hibernate.type.ImageType@24c22fe
[DEBUG] 2018-10-02 23:41:41.429 [main] BasicTypeRegistry - Adding type registration characters -> org.hibernate.type.CharArrayType@15a04efb
[DEBUG] 2018-10-02 23:41:41.429 [main] BasicTypeRegistry - Adding type registration char[] -> org.hibernate.type.CharArrayType@15a04efb
[DEBUG] 2018-10-02 23:41:41.429 [main] BasicTypeRegistry - Adding type registration [C -> org.hibernate.type.CharArrayType@15a04efb
[DEBUG] 2018-10-02 23:41:41.431 [main] BasicTypeRegistry - Adding type registration wrapper-characters -> org.hibernate.type.CharacterArrayType@3336e6b6
[DEBUG] 2018-10-02 23:41:41.431 [main] BasicTypeRegistry - Adding type registration [Ljava.lang.Character; -> org.hibernate.type.CharacterArrayType@3336e6b6
[DEBUG] 2018-10-02 23:41:41.431 [main] BasicTypeRegistry - Adding type registration Character[] -> org.hibernate.type.CharacterArrayType@3336e6b6
[DEBUG] 2018-10-02 23:41:41.432 [main] BasicTypeRegistry - Adding type registration text -> org.hibernate.type.TextType@6f3187b0
[DEBUG] 2018-10-02 23:41:41.434 [main] BasicTypeRegistry - Adding type registration ntext -> org.hibernate.type.NTextType@42e25b0b
[DEBUG] 2018-10-02 23:41:41.443 [main] BasicTypeRegistry - Adding type registration blob -> org.hibernate.type.BlobType@4f4c4b1a
[DEBUG] 2018-10-02 23:41:41.444 [main] BasicTypeRegistry - Adding type registration java.sql.Blob -> org.hibernate.type.BlobType@4f4c4b1a
[DEBUG] 2018-10-02 23:41:41.445 [main] BasicTypeRegistry - Adding type registration materialized_blob -> org.hibernate.type.MaterializedBlobType@64e7619d
[DEBUG] 2018-10-02 23:41:41.450 [main] BasicTypeRegistry - Adding type registration clob -> org.hibernate.type.ClobType@1cd629b3
[DEBUG] 2018-10-02 23:41:41.451 [main] BasicTypeRegistry - Adding type registration java.sql.Clob -> org.hibernate.type.ClobType@1cd629b3
[DEBUG] 2018-10-02 23:41:41.457 [main] BasicTypeRegistry - Adding type registration nclob -> org.hibernate.type.NClobType@7f8a9499
[DEBUG] 2018-10-02 23:41:41.458 [main] BasicTypeRegistry - Adding type registration java.sql.NClob -> org.hibernate.type.NClobType@7f8a9499
[DEBUG] 2018-10-02 23:41:41.459 [main] BasicTypeRegistry - Adding type registration materialized_clob -> org.hibernate.type.MaterializedClobType@2fba3fc4
[DEBUG] 2018-10-02 23:41:41.460 [main] BasicTypeRegistry - Adding type registration materialized_nclob -> org.hibernate.type.MaterializedNClobType@1c39680d
[DEBUG] 2018-10-02 23:41:41.463 [main] BasicTypeRegistry - Adding type registration serializable -> org.hibernate.type.SerializableType@24c4ddae
[DEBUG] 2018-10-02 23:41:41.468 [main] BasicTypeRegistry - Adding type registration object -> org.hibernate.type.ObjectType@1863d2fe
[DEBUG] 2018-10-02 23:41:41.469 [main] BasicTypeRegistry - Adding type registration java.lang.Object -> org.hibernate.type.ObjectType@1863d2fe
[DEBUG] 2018-10-02 23:41:41.470 [main] BasicTypeRegistry - Adding type registration imm_date -> org.hibernate.type.AdaptedImmutableType@55c53a33
[DEBUG] 2018-10-02 23:41:41.470 [main] BasicTypeRegistry - Adding type registration imm_time -> org.hibernate.type.AdaptedImmutableType@53b7f657
[DEBUG] 2018-10-02 23:41:41.470 [main] BasicTypeRegistry - Adding type registration imm_timestamp -> org.hibernate.type.AdaptedImmutableType@797b0699
[DEBUG] 2018-10-02 23:41:41.470 [main] BasicTypeRegistry - Adding type registration imm_dbtimestamp -> org.hibernate.type.AdaptedImmutableType@5a37d3ed
[DEBUG] 2018-10-02 23:41:41.470 [main] BasicTypeRegistry - Adding type registration imm_calendar -> org.hibernate.type.AdaptedImmutableType@26df6e3a
[DEBUG] 2018-10-02 23:41:41.471 [main] BasicTypeRegistry - Adding type registration imm_calendar_date -> org.hibernate.type.AdaptedImmutableType@4a3631f8
[DEBUG] 2018-10-02 23:41:41.471 [main] BasicTypeRegistry - Adding type registration imm_binary -> org.hibernate.type.AdaptedImmutableType@6b58b9e9
[DEBUG] 2018-10-02 23:41:41.471 [main] BasicTypeRegistry - Adding type registration imm_serializable -> org.hibernate.type.AdaptedImmutableType@f14a7d4
[INFO ] 2018-10-02 23:41:41.495 [main] C3P0ConnectionProvider - HHH010002: C3P0 using driver: com.mysql.jdbc.Driver at URL: jdbc:mysql://localhost:3306/WorldOfDarknessTest
[INFO ] 2018-10-02 23:41:41.495 [main] C3P0ConnectionProvider - HHH10001001: Connection properties: {user=root, password=****}
[INFO ] 2018-10-02 23:41:41.496 [main] C3P0ConnectionProvider - HHH10001003: Autocommit mode: false
[INFO ] 2018-10-02 23:41:41.766 [main] C3P0ConnectionProvider - HHH10001007: JDBC isolation level: <unknown>
[WARN ] 2018-10-02 23:42:12.565 [main] JdbcEnvironmentInitiator - HHH000342: Could not obtain connection to query metadata : Connections could not be acquired from the underlying database!
